cell_id,node_id,f_veg,f_topo,ndmi_last,ndmi_fecha
r6c24,42.5_1.7,1.039308,1.000263,0.1172,2026-06-25
r6c23,42.5_1.7,1.044956,1.039744,0.111,2026-06-25
r6c22,42.5_1.7,1.028832,0.989905,0.1287,2026-06-25
r6c20,42.5_1.7,1.063266,0.979017,0.0909,2026-06-25
r6c2,42.5_1.4,1.053974,1.03693,0.1011,2026-06-25
r6c19,42.5_1.7,1.037486,0.9686,0.1192,2026-06-25
r6c18,42.5_1.6,1.082851,1.007276,0.0694,2026-06-25
r6c17,42.5_1.6,1.063357,1.037961,0.0908,2026-06-25
r6c16,42.5_1.6,1.02701,1.015086,0.1307,2026-06-25
r6c15,42.5_1.6,1.017536,0.983224,0.1411,2026-06-25
r6c14,42.5_1.6,0.965794,0.977737,0.1979,2026-06-25
r6c13,42.5_1.6,0.91806,0.968011,0.2503,2026-06-25
r6c12,42.5_1.6,0.963243,1.010739,0.2007,2026-06-25
r6c11,42.5_1.6,0.997768,1.022992,0.1628,2026-06-25
r6c10,42.5_1.5,0.983648,0.997943,0.1783,2026-06-25
r6c1,42.5_1.4,0.896743,0.991131,0.2737,2026-06-25
r6c0,42.5_1.4,0.894102,0.968817,0.2766,2026-06-25
r5c9,42.5_1.5,0.990936,1.017587,0.1703,2026-06-25
r5c8,42.5_1.5,0.952767,1.042727,0.2122,2026-06-25
r7c13,42.5_1.6,0.965338,1.04336,0.1984,2026-06-25
r19c18,42.6_1.6,0.919517,1.025772,0.2487,2026-06-25
r14c3,42.6_1.5,0.990572,1.062799,0.1707,2026-06-25
r19c16,42.6_1.6,1.146254,1.039097,-0.0002,2026-06-25
r13c15,42.6_1.6,0.907128,0.993404,0.2623,2026-06-25
r13c14,42.6_1.6,0.944113,1.043874,0.2217,2026-06-25
r13c13,42.6_1.6,0.890731,0.949041,0.2803,2026-06-25
r13c12,42.6_1.6,0.892097,0.940593,0.2788,2026-06-25
r13c11,42.6_1.6,0.877249,0.958662,0.2951,2026-06-25
r13c10,42.6_1.5,0.906946,0.971751,0.2625,2026-06-25
r13c1,42.6_1.4,0.909679,1.002819,0.2595,2026-06-25
r13c0,42.6_1.4,0.907857,0.987244,0.2615,2026-06-25
r12c9,42.5_1.5,0.97299,1.00572,0.19,2026-06-25
r12c8,42.5_1.5,1.0578,0.942202,0.0969,2026-06-25
r12c7,42.5_1.5,0.984742,0.988601,0.1771,2026-06-25
r12c6,42.5_1.5,0.897654,0.963663,0.2727,2026-06-25
r12c5,42.5_1.5,0.914962,0.962731,0.2537,2026-06-25
r13c16,42.6_1.6,0.861489,0.954704,0.3124,2026-06-25
r12c4,42.5_1.5,0.920064,0.97465,0.2481,2026-06-25
r12c26,42.5_1.7,0.973446,0.935639,0.1895,2026-06-25
r12c25,42.5_1.7,0.969255,0.974211,0.1941,2026-06-25
r12c24,42.5_1.7,0.951218,0.972659,0.2139,2026-06-25
r12c23,42.5_1.7,0.890093,0.944796,0.281,2026-06-25
r12c22,42.5_1.7,0.986928,0.9177,0.1747,2026-06-25
r12c21,42.5_1.7,1.008791,0.9382,0.1507,2026-06-25
r12c20,42.5_1.7,1.068094,0.97247,0.0856,2026-06-25
r12c2,42.5_1.4,0.912138,0.998405,0.2568,2026-06-25
r12c19,42.5_1.6,1.009702,1.015173,0.1497,2026-06-25
r12c18,42.5_1.6,1.018629,1.017495,0.1399,2026-06-25
r12c17,42.5_1.6,0.936552,1.020011,0.23,2026-06-25
r12c16,42.5_1.6,0.951856,1.008669,0.2132,2026-06-25
r12c15,42.5_1.6,0.912958,1.043255,0.2559,2026-06-25
r12c3,42.5_1.5,0.927898,0.97596,0.2395,2026-06-25
r12c14,42.5_1.6,0.973355,1.044262,0.1896,2026-06-25
r13c17,42.6_1.6,0.964883,0.989417,0.1989,2026-06-25
r13c19,42.6_1.6,1.097153,0.942987,0.0537,2026-06-25
r14c20,42.6_1.7,0.97299,0.937526,0.19,2026-06-25
r14c2,42.6_1.4,0.946664,1.050507,0.2189,2026-06-25
r14c19,42.6_1.6,0.944933,0.941058,0.2208,2026-06-25
r14c18,42.6_1.6,0.929538,0.954446,0.2377,2026-06-25
r14c17,42.6_1.6,0.894375,0.979347,0.2763,2026-06-25
r14c16,42.6_1.6,0.857846,0.997947,0.3164,2026-06-25
r14c15,42.6_1.6,0.904578,0.944365,0.2651,2026-06-25
r14c14,42.6_1.6,0.986472,1.029355,0.1752,2026-06-25
r14c13,42.6_1.6,0.931906,1.008579,0.2351,2026-06-25
r14c12,42.6_1.6,0.904395,1.028451,0.2653,2026-06-25
r14c11,42.6_1.6,0.943202,1.010471,0.2227,2026-06-25
r14c10,42.6_1.5,1.018082,1.032962,0.1405,2026-06-25
r14c1,42.6_1.4,1.026463,1.029901,0.1313,2026-06-25
r13c18,42.6_1.6,1.047324,0.971265,0.1084,2026-06-25
r13c9,42.6_1.5,1.033842,0.956432,0.1232,2026-06-25
r13c7,42.6_1.5,0.962514,1.002763,0.2015,2026-06-25
r13c6,42.6_1.5,0.917695,1.001993,0.2507,2026-06-25
r13c5,42.6_1.5,0.959326,1.042724,0.205,2026-06-25
r13c4,42.6_1.5,0.960146,1.04675,0.2041,2026-06-25
r13c3,42.6_1.5,0.902391,1.025161,0.2675,2026-06-25
r13c26,42.6_1.7,0.864404,1.003295,0.3092,2026-06-25
r13c25,42.6_1.7,1.023548,0.993487,0.1345,2026-06-25
r13c24,42.6_1.7,1.091688,0.977298,0.0597,2026-06-25
r13c23,42.6_1.7,0.946846,1.007914,0.2187,2026-06-25
r13c22,42.6_1.7,0.903211,0.938305,0.2666,2026-06-25
r13c21,42.6_1.7,0.955136,0.943954,0.2096,2026-06-25
r13c20,42.6_1.7,1.040492,0.942299,0.1159,2026-06-25
r13c2,42.6_1.4,0.910317,0.99802,0.2588,2026-06-25
r13c8,42.6_1.5,1.019267,1.019798,0.1392,2026-06-25
