cell_id,node_id,f_veg,f_topo,ndmi_last,ndmi_fecha
r24c12,42.7_1.6,1.091232,1.003243,0.0602,2026-06-25
r23c13,42.6_1.6,1.106809,0.987908,0.0431,2026-06-25
r4c10,42.5_1.5,1.2,0.981748,-0.0646,2026-06-25
r23c11,42.6_1.5,1.046049,0.968733,0.1098,2026-06-25
r23c10,42.6_1.5,1.128672,1.018176,0.0191,2026-06-25
r22c9,42.6_1.5,0.987839,1.048092,0.1737,2026-06-25
r22c8,42.6_1.5,0.928627,1.017566,0.2387,2026-06-25
r22c7,42.6_1.5,0.97135,1.002659,0.1918,2026-06-25
r22c6,42.6_1.5,1.045502,0.977062,0.1104,2026-06-25
r22c5,42.6_1.5,1.108813,1.001909,0.0409,2026-06-25
r22c4,42.6_1.5,1.169847,1.019949,-0.0261,2026-06-25
r22c14,42.6_1.6,1.146436,1.002294,-0.0004,2026-06-25
r22c13,42.6_1.6,1.134411,1.023544,0.0128,2026-06-25
r22c12,42.6_1.6,0.997222,1.024933,0.1634,2026-06-25
r24c9,42.7_1.5,1.109907,1.033483,0.0397,2026-06-25
r22c11,42.6_1.6,1.031018,1.059962,0.1263,2026-06-25
r23c12,42.6_1.6,1.017354,1.030072,0.1413,2026-06-25
r2c10,42.5_1.5,0.970348,1.001054,0.1929,2026-06-25
r3c9,42.5_1.5,0.998406,1.047013,0.1621,2026-06-25
r2c12,42.5_1.6,1.185789,1.011531,-0.0436,2026-06-25
r22c10,42.6_1.5,1.08194,1.04469,0.0704,2026-06-25
r3c8,42.5_1.5,0.969893,1.00893,0.1934,2026-06-25
r3c7,42.5_1.5,0.975268,0.980694,0.1875,2026-06-25
r3c6,42.5_1.5,1.03785,0.994966,0.1188,2026-06-25
r3c5,42.5_1.5,1.062173,1.053714,0.0921,2026-06-25
r3c4,42.5_1.5,1.039581,1.07646,0.1169,2026-06-25
r3c3,42.5_1.5,1.022091,1.039109,0.1361,2026-06-25
r3c2,42.5_1.4,0.931815,0.987337,0.2352,2026-06-25
r3c19,42.5_1.7,1.154361,1.014579,-0.0091,2026-06-25
r3c18,42.5_1.6,1.161376,1.018663,-0.0168,2026-06-25
r3c17,42.5_1.6,1.188249,1.009549,-0.0463,2026-06-25
r3c16,42.5_1.6,1.175313,0.996558,-0.0321,2026-06-25
r3c15,42.5_1.6,1.135687,1.007651,0.0114,2026-06-25
r3c14,42.5_1.6,1.139148,0.982984,0.0076,2026-06-25
r3c13,42.5_1.6,1.177499,0.964232,-0.0345,2026-06-25
r3c12,42.5_1.6,1.161193,0.963195,-0.0166,2026-06-25
r3c11,42.5_1.6,1.161376,1.006418,-0.0168,2026-06-25
r3c10,42.5_1.5,1.066818,1.057209,0.087,2026-06-25
r2c9,42.5_1.5,0.974994,0.99701,0.1878,2026-06-25
r2c8,42.5_1.5,0.918333,0.99968,0.25,2026-06-25
r2c7,42.5_1.5,0.983011,1.00045,0.179,2026-06-25
r2c6,42.5_1.5,0.950216,0.9814,0.215,2026-06-25
r2c5,42.5_1.5,1.028923,1.022658,0.1286,2026-06-25
r2c4,42.5_1.5,0.968435,0.975586,0.195,2026-06-25
r2c3,42.5_1.5,0.898839,1.005143,0.2714,2026-06-25
r2c2,42.5_1.4,0.979276,1.021602,0.1831,2026-06-25
r2c13,42.5_1.6,1.2,0.980583,-0.1233,2026-06-25
r2c11,42.5_1.6,1.176588,0.975807,-0.0335,2026-06-25
r21c9,42.6_1.5,0.961148,1.010357,0.203,2026-06-25
r19c21,42.6_1.7,1.076657,1.017178,0.0762,2026-06-25
r21c7,42.6_1.5,1.005876,0.962242,0.1539,2026-06-25
r20c12,42.6_1.6,0.992211,0.971844,0.1689,2026-06-25
r20c11,42.6_1.6,0.920884,1.018783,0.2472,2026-06-25
r20c10,42.6_1.5,0.928445,1.006028,0.2389,2026-06-25
r1c9,42.4_1.5,0.873878,0.942099,0.2988,2026-06-25
r1c8,42.4_1.5,0.849829,0.920334,0.3252,2026-06-25
r1c7,42.4_1.5,0.90476,0.919885,0.2649,2026-06-25
r1c6,42.4_1.5,0.899932,0.965688,0.2702,2026-06-25
r1c5,42.4_1.5,0.983557,1.000663,0.1784,2026-06-25
r1c4,42.4_1.5,1.037577,1.035582,0.1191,2026-06-25
r1c3,42.4_1.5,0.985561,1.016841,0.1762,2026-06-25
r1c2,42.4_1.4,0.992302,1.022203,0.1688,2026-06-25
r1c11,42.4_1.6,1.174129,0.97082,-0.0308,2026-06-25
r1c10,42.4_1.5,0.976543,0.992449,0.1861,2026-06-25
r20c13,42.6_1.6,1.047506,0.984703,0.1082,2026-06-25
r19c9,42.6_1.5,0.973172,1.062742,0.1898,2026-06-25
r19c7,42.6_1.5,0.981553,1.01786,0.1806,2026-06-25
r19c6,42.6_1.5,1.121111,0.976991,0.0274,2026-06-25
r19c5,42.6_1.5,1.126395,0.994193,0.0216,2026-06-25
r19c4,42.6_1.5,1.095605,1.052785,0.0554,2026-06-25
r19c3,42.6_1.5,1.07192,1.032582,0.0814,2026-06-25
r19c26,42.6_1.7,1.162104,1.029535,-0.0176,2026-06-25
r19c25,42.6_1.7,1.2,0.953762,-0.1789,2026-06-25
r19c24,42.6_1.7,1.163562,1.026826,-0.0192,2026-06-25
r19c23,42.6_1.7,1.057071,1.036388,0.0977,2026-06-25
r19c22,42.6_1.7,1.050512,1.036167,0.1049,2026-06-25
r19c20,42.6_1.7,1.123298,1.02484,0.025,2026-06-25
r19c2,42.6_1.4,1.046322,1.038235,0.1095,2026-06-25
r4c11,42.5_1.6,1.111364,0.967631,0.0381,2026-06-25
r19c8,42.6_1.5,0.934457,1.048156,0.2323,2026-06-25
r20c14,42.6_1.6,1.127124,0.967928,0.0208,2026-06-25
r20c15,42.6_1.6,1.111637,0.985089,0.0378,2026-06-25
r20c16,42.6_1.6,1.13095,1.000509,0.0166,2026-06-25
r21c6,42.6_1.5,1.073013,0.97806,0.0802,2026-06-25
r21c5,42.6_1.5,1.093236,0.968944,0.058,2026-06-25
r21c23,42.6_1.7,1.133318,1.010559,0.014,2026-06-25
r21c22,42.6_1.7,1.142974,1.033441,0.0034,2026-06-25
r21c19,42.6_1.6,1.178501,1.04144,-0.0356,2026-06-25
r21c18,42.6_1.6,1.2,1.046493,-0.0741,2026-06-25
r21c17,42.6_1.6,1.139148,1.04023,0.0076,2026-06-25
r21c16,42.6_1.6,1.124755,1.020297,0.0234,2026-06-25
r21c15,42.6_1.6,1.133591,1.03537,0.0137,2026-06-25
r21c14,42.6_1.6,1.036666,1.024274,0.1201,2026-06-25
r21c13,42.6_1.6,1.004509,1.009941,0.1554,2026-06-25
r21c12,42.6_1.6,0.920155,0.999571,0.248,2026-06-25
r21c11,42.6_1.6,0.931269,1.02204,0.2358,2026-06-25
r21c10,42.6_1.5,0.953131,1.054898,0.2118,2026-06-25
r20c9,42.6_1.5,0.971259,1.028112,0.1919,2026-06-25
r20c8,42.6_1.5,1.057345,1.033522,0.0974,2026-06-25
r20c7,42.6_1.5,1.114188,1.033786,0.035,2026-06-25
r20c6,42.6_1.5,1.124846,1.034841,0.0233,2026-06-25
r20c5,42.6_1.5,1.129219,1.029312,0.0185,2026-06-25
r20c26,42.6_1.7,1.188158,0.988957,-0.0462,2026-06-25
r20c25,42.6_1.7,1.188977,1.034439,-0.0471,2026-06-25
r20c24,42.6_1.7,1.137509,0.990274,0.0094,2026-06-25
r20c23,42.6_1.7,1.108905,1.036019,0.0408,2026-06-25
r20c22,42.6_1.7,1.151173,1.006634,-0.0056,2026-06-25
r20c21,42.6_1.7,1.161558,1.038832,-0.017,2026-06-25
r20c20,42.6_1.7,1.151264,1.03114,-0.0057,2026-06-25
r20c19,42.6_1.6,1.076475,1.004171,0.0764,2026-06-25
r20c18,42.6_1.6,0.973172,1.030859,0.1898,2026-06-25
r20c17,42.6_1.6,1.067547,0.98993,0.0862,2026-06-25
r21c8,42.6_1.5,1.00123,1.00721,0.159,2026-06-25
r4c12,42.5_1.6,1.044045,0.967083,0.112,2026-06-25
r9c24,42.5_1.7,1.2,0.969587,-0.0824,2026-06-25
r4c14,42.5_1.6,1.079572,0.953201,0.073,2026-06-25
r8c19,42.5_1.7,1.2,0.988071,-0.066,2026-06-25
r8c18,42.5_1.6,1.198269,1.002862,-0.0573,2026-06-25
r8c17,42.5_1.6,1.12348,0.977884,0.0248,2026-06-25
r8c16,42.5_1.6,1.10854,0.969692,0.0412,2026-06-25
r8c15,42.5_1.6,1.094238,0.963087,0.0569,2026-06-25
r8c14,42.5_1.6,1.017536,0.987498,0.1411,2026-06-25
r8c13,42.5_1.6,0.965611,1.026514,0.1981,2026-06-25
r8c12,42.5_1.6,0.912867,0.977429,0.256,2026-06-25
r8c11,42.5_1.6,0.950581,0.996878,0.2146,2026-06-25
r8c10,42.5_1.5,1.029652,0.964429,0.1278,2026-06-25
r7c9,42.5_1.5,0.924254,0.983373,0.2435,2026-06-25
r7c8,42.5_1.5,0.92471,0.955894,0.243,2026-06-25
r7c7,42.5_1.5,1.06199,0.969978,0.0923,2026-06-25
r8c20,42.5_1.7,1.191893,1.002158,-0.0503,2026-06-25
r7c6,42.5_1.5,1.034115,1.064418,0.1229,2026-06-25
r7c4,42.5_1.5,1.038306,1.059027,0.1183,2026-06-25
r7c3,42.5_1.5,1.062628,1.076791,0.0916,2026-06-25
